,0
0,219
1,225
2,410
3,409
4,413
5,236
6,264
7,436
8,274
9,422
10,437
11,271
12,419
13,267
14,415
15,263
16,235
17,262
18,261
19,260
20,421
21,418
22,259
23,258
24,257
25,256
26,255
27,254
28,253
29,417
30,416
31,251
32,252
33,231
34,223
35,214
36,202
37,190
38,397
39,178
40,394
41,393
42,154
43,165
44,177
45,189
46,201
47,401
48,200
49,213
50,222
51,230
52,250
53,249
54,414
55,248
56,247
57,246
58,245
59,244
60,243
61,242
62,241
63,240
64,406
65,400
66,405
67,227
68,234
69,239
70,266
71,270
72,269
73,273
74,276
75,425
76,279
77,439
78,282
79,307
80,308
81,338
82,309
83,310
84,283
85,284
86,285
87,311
88,339
89,312
90,313
91,314
92,288
93,287
94,286
95,423
96,420
97,424
98,289
99,315
100,316
101,290
102,291
103,317
104,318
105,292
106,293
107,319
108,320
109,294
110,295
111,277
112,296
113,297
114,298
115,299
116,324
117,325
118,300
119,301
120,326
121,327
122,302
123,303
124,328
125,329
126,304
127,305
128,330
129,331
130,332
131,306
132,333
133,334
134,335
135,426
136,336
137,337
138,374
139,373
140,372
141,371
142,370
143,431
144,369
145,368
146,367
147,366
148,344
149,365
150,364
151,430
152,363
153,362
154,361
155,343
156,428
157,323
158,322
159,321
160,429
161,360
162,359
163,358
164,434
165,357
166,356
167,355
168,433
169,354
170,353
171,352
172,342
173,351
174,350
175,349
176,348
177,432
178,347
179,346
180,345
181,341
182,340
183,427
184,281
185,280
186,278
187,275
188,272
189,268
190,265
191,238
192,237
193,233
194,226
195,404
196,399
197,184
198,171
199,160
200,148
201,135
202,125
203,113
204,102
205,101
206,440
207,103
208,114
209,385
210,126
211,386
212,388
213,136
214,149
215,150
216,161
217,172
218,185
219,173
220,395
221,398
222,186
223,402
224,210
225,211
226,220
227,228
228,229
229,221
230,212
231,199
232,187
233,175
234,162
235,152
236,392
237,174
238,151
239,391
240,137
241,115
242,70
243,38
244,69
245,68
246,67
247,35
248,34
249,66
250,65
251,33
252,441
253,0
254,1
255,2
256,3
257,36
258,37
259,4
260,5
261,6
262,39
263,71
264,72
265,40
266,7
267,8
268,9
269,42
270,41
271,73
272,74
273,75
274,98
275,76
276,77
277,45
278,44
279,43
280,10
281,11
282,12
283,13
284,14
285,15
286,16
287,17
288,18
289,51
290,50
291,49
292,81
293,80
294,48
295,47
296,46
297,78
298,79
299,99
300,106
301,105
302,104
303,116
304,127
305,138
306,139
307,163
308,396
309,188
310,176
311,164
312,153
313,140
314,128
315,117
316,129
317,141
318,389
319,387
320,118
321,107
322,438
323,82
324,83
325,84
326,52
327,19
328,20
329,21
330,22
331,23
332,24
333,57
334,89
335,88
336,56
337,55
338,87
339,377
340,86
341,54
342,53
343,85
344,380
345,381
346,108
347,119
348,130
349,142
350,155
351,166
352,179
353,191
354,192
355,203
356,215
357,224
358,232
359,407
360,408
361,411
362,412
363,403
364,216
365,204
366,205
367,206
368,195
369,194
370,193
371,180
372,167
373,156
374,144
375,143
376,390
377,131
378,121
379,120
380,384
381,109
382,110
383,122
384,132
385,145
386,157
387,168
388,181
389,196
390,207
391,217
392,218
393,208
394,197
395,182
396,169
397,158
398,146
399,133
400,123
401,111
402,378
403,94
404,93
405,435
406,100
407,92
408,60
409,59
410,91
411,90
412,58
413,25
414,26
415,27
416,28
417,61
418,62
419,29
420,30
421,31
422,375
423,376
424,32
425,64
426,63
427,95
428,379
429,96
430,97
431,383
432,382
433,112
434,124
435,134
436,147
437,159
438,170
439,183
440,198
441,209
