,0
0,406
1,227
2,405
3,400
4,399
5,404
6,226
7,233
8,237
9,238
10,265
11,268
12,272
13,275
14,278
15,280
16,281
17,427
18,340
19,341
20,307
21,308
22,338
23,345
24,346
25,347
26,432
27,348
28,349
29,350
30,351
31,342
32,352
33,353
34,354
35,433
36,355
37,356
38,357
39,434
40,358
41,359
42,360
43,343
44,361
45,362
46,363
47,364
48,430
49,326
50,325
51,324
52,428
53,323
54,297
55,298
56,299
57,300
58,301
59,302
60,327
61,328
62,303
63,304
64,329
65,344
66,365
67,366
68,367
69,368
70,369
71,370
72,371
73,372
74,373
75,374
76,337
77,336
78,426
79,335
80,334
81,306
82,333
83,431
84,332
85,331
86,330
87,305
88,437
89,422
90,274
91,436
92,264
93,236
94,413
95,225
96,219
97,209
98,198
99,183
100,170
101,159
102,147
103,134
104,124
105,112
106,382
107,383
108,97
109,96
110,64
111,32
112,376
113,375
114,31
115,30
116,63
117,95
118,379
119,378
120,111
121,123
122,133
123,146
124,158
125,169
126,182
127,197
128,208
129,218
130,410
131,409
132,419
133,271
134,267
135,415
136,263
137,235
138,262
139,261
140,421
141,418
142,259
143,260
144,412
145,411
146,403
147,408
148,407
149,258
150,257
151,256
152,255
153,232
154,224
155,215
156,203
157,192
158,191
159,179
160,178
161,394
162,393
163,166
164,155
165,142
166,143
167,144
168,156
169,167
170,180
171,193
172,204
173,216
174,205
175,194
176,195
177,206
178,217
179,207
180,196
181,181
182,168
183,157
184,145
185,132
186,122
187,110
188,109
189,121
190,131
191,390
192,120
193,384
194,108
195,119
196,130
197,387
198,389
199,129
200,118
201,107
202,438
203,82
204,83
205,84
206,380
207,381
208,85
209,86
210,377
211,87
212,88
213,89
214,90
215,91
216,59
217,92
218,100
219,435
220,93
221,94
222,62
223,29
224,28
225,61
226,60
227,27
228,26
229,25
230,58
231,57
232,24
233,23
234,56
235,55
236,22
237,21
238,54
239,53
240,20
241,19
242,52
243,51
244,18
245,17
246,50
247,81
248,80
249,48
250,49
251,16
252,15
253,14
254,13
255,12
256,11
257,10
258,9
259,8
260,41
261,40
262,7
263,6
264,39
265,38
266,5
267,4
268,37
269,36
270,3
271,2
272,35
273,34
274,1
275,0
276,441
277,33
278,65
279,66
280,67
281,68
282,69
283,70
284,71
285,72
286,73
287,74
288,42
289,43
290,75
291,98
292,76
293,44
294,45
295,77
296,78
297,46
298,47
299,79
300,99
301,106
302,117
303,105
304,104
305,116
306,127
307,139
308,138
309,115
310,137
311,391
312,151
313,150
314,161
315,149
316,136
317,388
318,386
319,126
320,385
321,114
322,103
323,440
324,101
325,102
326,113
327,125
328,135
329,148
330,160
331,171
332,184
333,185
334,172
335,173
336,395
337,398
338,186
339,174
340,392
341,152
342,162
343,175
344,187
345,199
346,212
347,221
348,229
349,247
350,246
351,245
352,423
353,420
354,424
355,414
356,248
357,249
358,250
359,251
360,230
361,222
362,213
363,401
364,201
365,200
366,188
367,176
368,396
369,163
370,164
371,153
372,140
373,128
374,141
375,154
376,165
377,177
378,397
379,190
380,189
381,202
382,214
383,223
384,231
385,254
386,253
387,252
388,417
389,416
390,277
391,296
392,322
393,429
394,321
395,295
396,294
397,320
398,319
399,293
400,292
401,318
402,317
403,291
404,290
405,316
406,315
407,289
408,288
409,314
410,313
411,287
412,286
413,312
414,339
415,311
416,285
417,284
418,310
419,309
420,283
421,282
422,279
423,439
424,425
425,276
426,273
427,269
428,270
429,266
430,239
431,234
432,240
433,241
434,242
435,243
436,244
437,228
438,220
439,211
440,210
441,402
