,0
0,39
1,40
2,7
3,6
4,5
5,4
6,37
7,69
8,68
9,67
10,35
11,36
12,3
13,2
14,1
15,0
16,441
17,33
18,34
19,66
20,65
21,101
22,103
23,114
24,386
25,388
26,150
27,161
28,149
29,136
30,126
31,385
32,440
33,102
34,113
35,125
36,135
37,148
38,160
39,171
40,184
41,399
42,404
43,226
44,233
45,237
46,238
47,234
48,239
49,266
50,270
51,273
52,269
53,265
54,268
55,272
56,275
57,278
58,280
59,281
60,276
61,425
62,439
63,279
64,282
65,308
66,307
67,427
68,340
69,341
70,345
71,346
72,347
73,348
74,432
75,338
76,309
77,283
78,310
79,284
80,285
81,286
82,287
83,313
84,312
85,311
86,339
87,349
88,350
89,351
90,342
91,352
92,353
93,354
94,433
95,355
96,356
97,357
98,434
99,358
100,429
101,359
102,360
103,343
104,428
105,323
106,322
107,296
108,297
109,298
110,299
111,324
112,325
113,300
114,301
115,326
116,430
117,361
118,362
119,363
120,364
121,365
122,344
123,366
124,367
125,368
126,369
127,370
128,371
129,372
130,373
131,374
132,337
133,336
134,426
135,335
136,334
137,306
138,333
139,431
140,332
141,331
142,330
143,305
144,304
145,329
146,328
147,327
148,302
149,303
150,421
151,418
152,260
153,412
154,411
155,259
156,258
157,257
158,256
159,255
160,254
161,253
162,417
163,416
164,277
165,294
166,295
167,321
168,320
169,319
170,293
171,292
172,318
173,317
174,291
175,290
176,316
177,315
178,314
179,289
180,288
181,423
182,420
183,424
184,414
185,249
186,248
187,247
188,246
189,245
190,244
191,243
192,242
193,241
194,240
195,406
196,227
197,405
198,400
199,185
200,172
201,173
202,395
203,398
204,186
205,151
206,115
207,137
208,391
209,174
210,210
211,402
212,211
213,220
214,228
215,229
216,221
217,212
218,199
219,187
220,175
221,162
222,392
223,152
224,138
225,139
226,127
227,116
228,104
229,105
230,106
231,117
232,128
233,140
234,153
235,163
236,164
237,176
238,396
239,188
240,200
241,201
242,401
243,213
244,222
245,230
246,250
247,251
248,252
249,231
250,223
251,214
252,202
253,189
254,190
255,397
256,177
257,178
258,394
259,165
260,154
261,141
262,129
263,118
264,107
265,438
266,82
267,83
268,84
269,85
270,381
271,380
272,108
273,119
274,384
275,120
276,109
277,121
278,131
279,144
280,156
281,167
282,143
283,390
284,130
285,387
286,389
287,142
288,155
289,393
290,166
291,179
292,192
293,191
294,203
295,215
296,224
297,232
298,407
299,408
300,403
301,216
302,204
303,193
304,180
305,194
306,195
307,205
308,206
309,217
310,235
311,261
312,262
313,263
314,415
315,267
316,419
317,271
318,437
319,422
320,274
321,436
322,264
323,236
324,413
325,225
326,219
327,209
328,198
329,183
330,170
331,159
332,147
333,134
334,124
335,112
336,382
337,383
338,97
339,96
340,64
341,31
342,32
343,376
344,375
345,30
346,63
347,95
348,379
349,378
350,94
351,93
352,435
353,111
354,123
355,133
356,146
357,158
358,169
359,182
360,197
361,208
362,218
363,410
364,409
365,207
366,196
367,181
368,168
369,157
370,145
371,132
372,122
373,110
374,100
375,92
376,60
377,61
378,62
379,29
380,28
381,27
382,26
383,59
384,91
385,90
386,58
387,25
388,24
389,57
390,89
391,88
392,56
393,23
394,22
395,55
396,87
397,377
398,86
399,54
400,21
401,20
402,53
403,52
404,19
405,18
406,51
407,50
408,17
409,16
410,49
411,81
412,80
413,48
414,15
415,14
416,13
417,12
418,45
419,46
420,47
421,79
422,99
423,78
424,77
425,98
426,76
427,44
428,11
429,10
430,9
431,8
432,41
433,42
434,43
435,75
436,74
437,73
438,72
439,71
440,70
441,38
