,0
0,32
1,376
2,375
3,31
4,30
5,29
6,28
7,27
8,26
9,25
10,58
11,90
12,89
13,57
14,24
15,23
16,56
17,88
18,87
19,55
20,22
21,21
22,54
23,53
24,20
25,52
26,19
27,18
28,51
29,83
30,84
31,85
32,86
33,377
34,381
35,380
36,108
37,384
38,120
39,109
40,121
41,131
42,390
43,143
44,144
45,156
46,167
47,180
48,193
49,194
50,195
51,206
52,205
53,204
54,216
55,403
56,412
57,411
58,407
59,408
60,224
61,232
62,231
63,223
64,214
65,202
66,215
67,203
68,192
69,191
70,179
71,166
72,155
73,142
74,130
75,119
76,387
77,389
78,393
79,394
80,178
81,397
82,190
83,189
84,177
85,165
86,154
87,141
88,129
89,118
90,107
91,438
92,82
93,81
94,49
95,50
96,17
97,16
98,15
99,48
100,80
101,99
102,79
103,47
104,14
105,13
106,46
107,78
108,77
109,45
110,12
111,11
112,10
113,9
114,8
115,41
116,40
117,72
118,73
119,74
120,42
121,43
122,44
123,76
124,75
125,98
126,104
127,116
128,105
129,106
130,117
131,128
132,140
133,153
134,139
135,127
136,138
137,152
138,392
139,162
140,175
141,187
142,199
143,396
144,163
145,164
146,176
147,188
148,200
149,201
150,401
151,213
152,222
153,230
154,212
155,221
156,229
157,246
158,247
159,248
160,249
161,414
162,424
163,420
164,423
165,286
166,287
167,288
168,314
169,313
170,312
171,339
172,311
173,285
174,284
175,310
176,338
177,309
178,283
179,282
180,308
181,307
182,439
183,279
184,425
185,276
186,273
187,269
188,270
189,266
190,239
191,234
192,227
193,406
194,240
195,241
196,242
197,243
198,244
199,245
200,228
201,220
202,211
203,402
204,210
205,174
206,186
207,398
208,395
209,173
210,185
211,172
212,161
213,149
214,136
215,126
216,385
217,440
218,103
219,114
220,386
221,388
222,150
223,151
224,391
225,137
226,115
227,71
228,70
229,69
230,37
231,38
232,39
233,7
234,6
235,5
236,4
237,3
238,36
239,68
240,67
241,66
242,34
243,35
244,2
245,1
246,0
247,441
248,33
249,65
250,101
251,102
252,113
253,125
254,135
255,148
256,160
257,171
258,184
259,399
260,400
261,405
262,404
263,226
264,233
265,238
266,237
267,265
268,268
269,272
270,275
271,278
272,280
273,281
274,427
275,340
276,341
277,345
278,346
279,347
280,432
281,348
282,349
283,350
284,351
285,342
286,352
287,353
288,354
289,355
290,433
291,318
292,317
293,316
294,315
295,289
296,290
297,291
298,292
299,293
300,294
301,320
302,319
303,356
304,357
305,434
306,358
307,359
308,360
309,429
310,322
311,321
312,295
313,296
314,277
315,417
316,416
317,250
318,251
319,252
320,253
321,254
322,255
323,256
324,257
325,258
326,259
327,418
328,421
329,260
330,261
331,262
332,235
333,263
334,415
335,267
336,419
337,271
338,422
339,437
340,304
341,305
342,330
343,329
344,328
345,303
346,302
347,327
348,326
349,301
350,300
351,325
352,324
353,299
354,298
355,297
356,323
357,428
358,343
359,361
360,362
361,363
362,430
363,364
364,365
365,344
366,366
367,367
368,368
369,369
370,370
371,371
372,372
373,373
374,374
375,431
376,331
377,332
378,333
379,306
380,334
381,335
382,336
383,337
384,426
385,436
386,274
387,264
388,236
389,413
390,409
391,217
392,207
393,196
394,181
395,168
396,157
397,145
398,132
399,122
400,110
401,111
402,123
403,133
404,146
405,158
406,169
407,182
408,197
409,208
410,218
411,410
412,225
413,219
414,209
415,198
416,183
417,170
418,159
419,147
420,134
421,124
422,112
423,382
424,383
425,97
426,96
427,379
428,95
429,378
430,94
431,93
432,435
433,100
434,92
435,91
436,59
437,60
438,61
439,62
440,63
441,64
