order,temperatur,simulation,sch_method,chain lenght,found_distances
0,45,10,geometric,500,1763.648274743724
1,45,10,geometric,500,1468.5626504838442
2,45,10,geometric,500,1562.5943533956633
3,45,10,geometric,500,1432.1395471016401
4,45,10,geometric,500,1311.1523780653997
5,45,10,geometric,500,1503.9948388917996
6,45,10,geometric,500,1524.3634343290028
7,45,10,geometric,500,1451.3862379821612
8,45,10,geometric,500,1503.7397429945677
9,45,10,geometric,500,1421.7877646087732
10,45,10,geometric,500,1381.8149718900474
11,45,10,geometric,500,1534.520825944072
12,45,10,geometric,500,1320.1850073717364
13,45,10,geometric,500,1382.0276942865987
14,45,10,geometric,500,1453.3691024429836
15,45,10,geometric,500,1503.790031673875
16,45,10,geometric,500,1430.6576821081235
17,45,10,geometric,500,1447.1082476929478
18,45,10,geometric,500,1348.4984691555887
19,45,10,geometric,500,1352.5861097570037
20,45,10,geometric,500,1437.143833957522
21,45,10,geometric,500,1552.6233475852277
22,45,10,geometric,500,1520.5619205213884
23,45,10,geometric,500,1480.9197387892282
24,45,10,geometric,500,1463.7695253444583
25,45,10,geometric,500,1389.414216044879
26,45,10,geometric,500,1504.1448485476596
27,45,10,geometric,500,1480.1107984839607
28,45,10,geometric,500,1340.1507983155673
29,45,10,geometric,500,1406.368136372378
30,45,10,geometric,500,1411.0638684632174
31,45,10,geometric,500,1352.6720706032218
32,45,10,geometric,500,1313.9135110594616
33,45,10,geometric,500,1478.9668491153657
34,45,10,geometric,500,1429.747870136767
35,45,10,geometric,500,1354.7680367255912
36,45,10,geometric,500,1431.2512583445073
37,45,10,geometric,500,1508.9517598430787
38,45,10,geometric,500,1433.4854496654646
39,45,10,geometric,500,1474.2100998816986
40,45,10,geometric,500,1301.0368603868897
41,45,10,geometric,500,1439.0094690882574
42,45,10,geometric,500,1459.2626288305303
43,45,10,geometric,500,1408.2545177920329
44,45,10,geometric,500,1275.6326742131523
45,45,10,geometric,500,1188.1353174627955
46,45,10,geometric,500,1281.5393162123876
47,45,10,geometric,500,1366.6917808930589
48,45,10,geometric,500,1323.3660694947268
49,45,10,geometric,500,1496.2966689110892
50,45,10,geometric,500,1345.1631092696568
51,45,10,geometric,500,1267.5738222087468
52,45,10,geometric,500,1239.2142742649746
53,45,10,geometric,500,1162.175125006321
54,45,10,geometric,500,1279.6594077077675
55,45,10,geometric,500,1245.3110062200317
56,45,10,geometric,500,1380.4553112608776
57,45,10,geometric,500,1285.249983506722
58,45,10,geometric,500,1288.4641650465837
59,45,10,geometric,500,1328.8576777909145
60,45,10,geometric,500,1227.2326900674625
61,45,10,geometric,500,1542.8844690181897
62,45,10,geometric,500,1337.2734427988719
63,45,10,geometric,500,1365.0965192861147
64,45,10,geometric,500,1351.9305681338997
65,45,10,geometric,500,1457.493484416913
66,45,10,geometric,500,1299.296647834858
67,45,10,geometric,500,1425.6311189814196
68,45,10,geometric,500,1358.4300087230895
69,45,10,geometric,500,1413.7680754644211
70,45,10,geometric,500,1221.7143209990322
71,45,10,geometric,500,1286.6098461989768
72,45,10,geometric,500,1146.5872557002265
73,45,10,geometric,500,1312.0975137855519
74,45,10,geometric,500,1278.0424514199296
75,45,10,geometric,500,1217.7798611736528
76,45,10,geometric,500,1349.4173712882625
77,45,10,geometric,500,1368.402377368991
78,45,10,geometric,500,1275.1985131691288
79,45,10,geometric,500,1276.54444119362
80,45,10,geometric,500,1226.7834940847347
81,45,10,geometric,500,1221.749532126051
82,45,10,geometric,500,1030.2343651463525
83,45,10,geometric,500,950.9849356898382
84,45,10,geometric,500,1215.8289545136806
85,45,10,geometric,500,1275.6382378046644
86,45,10,geometric,500,1283.1797628549193
87,45,10,geometric,500,1277.3614283882018
88,45,10,geometric,500,1191.8330733940509
89,45,10,geometric,500,1306.738702757489
90,45,10,geometric,500,1195.2724051168234
91,45,10,geometric,500,1236.4326154598516
92,45,10,geometric,500,1092.6820066064547
93,45,10,geometric,500,1149.084276887381
94,45,10,geometric,500,1246.6424622094592
95,45,10,geometric,500,1158.8162861000117
96,45,10,geometric,500,958.4497995534714
97,45,10,geometric,500,1250.644255391364
98,45,10,geometric,500,1025.2254314366191
99,45,10,geometric,500,1090.0276529400078
100,45,10,geometric,500,1119.014751973731
101,45,10,geometric,500,1082.1731241302407
102,45,10,geometric,500,1104.3993954074108
103,45,10,geometric,500,1142.5337207154316
104,45,10,geometric,500,1259.0379336579508
105,45,10,geometric,500,1277.1706813585574
106,45,10,geometric,500,1184.9099659642443
107,45,10,geometric,500,1108.4885042295004
108,45,10,geometric,500,1083.6047556193105
109,45,10,geometric,500,1088.4755386264703
110,45,10,geometric,500,1225.1007431342323
111,45,10,geometric,500,1006.3357665988628
112,45,10,geometric,500,1076.925202633171
113,45,10,geometric,500,1077.4220246641225
114,45,10,geometric,500,949.2072508961186
115,45,10,geometric,500,1049.6225084379084
116,45,10,geometric,500,1040.0759261721207
117,45,10,geometric,500,965.7777560631487
118,45,10,geometric,500,1002.5832111078878
119,45,10,geometric,500,1011.1412877771927
120,45,10,geometric,500,899.2165542079779
121,45,10,geometric,500,1136.612396791137
122,45,10,geometric,500,1001.9473479892266
123,45,10,geometric,500,1011.3410037569661
124,45,10,geometric,500,1010.12275652131
125,45,10,geometric,500,1033.3971703586185
126,45,10,geometric,500,1116.0753564175334
127,45,10,geometric,500,1066.0085505533414
128,45,10,geometric,500,1002.4271499874322
129,45,10,geometric,500,956.8431409174157
130,45,10,geometric,500,968.8058784892206
131,45,10,geometric,500,1040.8625280847345
132,45,10,geometric,500,1114.3209990606065
133,45,10,geometric,500,826.7184818684752
134,45,10,geometric,500,978.3063669538959
135,45,10,geometric,500,902.7014150808268
136,45,10,geometric,500,1032.6115579942114
137,45,10,geometric,500,1065.8887046764078
138,45,10,geometric,500,905.4533875050272
139,45,10,geometric,500,926.724173944879
140,45,10,geometric,500,1118.9438898256521
141,45,10,geometric,500,951.2898320471861
142,45,10,geometric,500,842.0568364650039
143,45,10,geometric,500,893.5168382654089
144,45,10,geometric,500,852.1675423987169
145,45,10,geometric,500,868.1550173636368
146,45,10,geometric,500,941.1419530608081
147,45,10,geometric,500,902.9241385790364
148,45,10,geometric,500,915.1889279850806
149,45,10,geometric,500,842.7490670517648
150,45,10,geometric,500,879.6390028122905
151,45,10,geometric,500,920.3362717013512
152,45,10,geometric,500,916.0364051128471
153,45,10,geometric,500,964.4841803336672
154,45,10,geometric,500,834.3379417582948
155,45,10,geometric,500,741.7055986020061
156,45,10,geometric,500,844.3045255199102
157,45,10,geometric,500,965.361164322533
158,45,10,geometric,500,989.3485308750834
159,45,10,geometric,500,1018.158476952041
160,45,10,geometric,500,887.9803814052904
161,45,10,geometric,500,870.9800944220723
162,45,10,geometric,500,791.853338966989
163,45,10,geometric,500,946.4362413643081
164,45,10,geometric,500,914.8348237291449
165,45,10,geometric,500,778.7941495725499
166,45,10,geometric,500,753.9029385394853
167,45,10,geometric,500,894.1637911973386
168,45,10,geometric,500,924.6981365486964
169,45,10,geometric,500,926.819133163714
170,45,10,geometric,500,796.8170220754045
171,45,10,geometric,500,844.7523697504422
172,45,10,geometric,500,832.1343915104659
173,45,10,geometric,500,824.8482690789107
174,45,10,geometric,500,939.3108998704455
175,45,10,geometric,500,747.0033400342788
176,45,10,geometric,500,737.2692300640374
177,45,10,geometric,500,782.9530996461401
178,45,10,geometric,500,859.8351563317256
179,45,10,geometric,500,804.3073370034659
180,45,10,geometric,500,833.6286609006694
181,45,10,geometric,500,823.4226247475897
182,45,10,geometric,500,798.2212810666133
183,45,10,geometric,500,795.8407860831225
184,45,10,geometric,500,736.7328137216715
185,45,10,geometric,500,766.1794722366752
186,45,10,geometric,500,761.1966586993457
187,45,10,geometric,500,782.3350210470333
188,45,10,geometric,500,779.4791586220286
189,45,10,geometric,500,792.657194503614
190,45,10,geometric,500,808.8265172382462
191,45,10,geometric,500,739.7674596147201
192,45,10,geometric,500,707.8904726821096
193,45,10,geometric,500,770.3214143653234
194,45,10,geometric,500,649.1585287561244
195,45,10,geometric,500,691.0961104762049
196,45,10,geometric,500,694.8752083593295
197,45,10,geometric,500,696.0090939815947
198,45,10,geometric,500,720.0436957704896
199,45,10,geometric,500,728.7892827578861
200,45,10,geometric,500,793.3141082342529
201,45,10,geometric,500,780.5510760386093
202,45,10,geometric,500,752.6165760157177
203,45,10,geometric,500,716.5368286766081
204,45,10,geometric,500,692.5802540404413
205,45,10,geometric,500,671.083390898759
206,45,10,geometric,500,688.0121545631051
207,45,10,geometric,500,695.3819214254152
208,45,10,geometric,500,723.8364799621575
209,45,10,geometric,500,713.5599835424135
210,45,10,geometric,500,694.8042357074872
211,45,10,geometric,500,635.833635413818
212,45,10,geometric,500,648.4214769400239
213,45,10,geometric,500,593.0332574933662
214,45,10,geometric,500,630.4772735640097
215,45,10,geometric,500,623.997856247542
216,45,10,geometric,500,605.0398410737625
217,45,10,geometric,500,609.4327200542168
218,45,10,geometric,500,536.7309454958538
219,45,10,geometric,500,586.5331468230922
220,45,10,geometric,500,634.4690916609644
221,45,10,geometric,500,628.4058485347155
222,45,10,geometric,500,617.4208302207905
223,45,10,geometric,500,566.6973715708519
224,45,10,geometric,500,585.1970108620934
225,45,10,geometric,500,590.1222441196231
226,45,10,geometric,500,590.1325725419441
227,45,10,geometric,500,647.5030533226613
228,45,10,geometric,500,606.9721565779618
229,45,10,geometric,500,643.2965901304825
230,45,10,geometric,500,631.5923705757662
231,45,10,geometric,500,628.6273434724296
232,45,10,geometric,500,595.9320944621498
233,45,10,geometric,500,569.2805597256711
234,45,10,geometric,500,606.6383463453027
235,45,10,geometric,500,575.2737519583736
236,45,10,geometric,500,585.008088547618
237,45,10,geometric,500,581.3612544247047
238,45,10,geometric,500,585.9883962312989
239,45,10,geometric,500,620.9608687635671
240,45,10,geometric,500,618.4673651149537
241,45,10,geometric,500,596.326373577886
242,45,10,geometric,500,529.0462380795839
243,45,10,geometric,500,508.0600704580296
244,45,10,geometric,500,567.9446288618798
245,45,10,geometric,500,558.3459184063194
246,45,10,geometric,500,583.4658101819534
247,45,10,geometric,500,631.4374706505364
248,45,10,geometric,500,557.6275396423348
249,45,10,geometric,500,528.8351980330726
250,45,10,geometric,500,533.2511435597252
251,45,10,geometric,500,519.0649222171053
252,45,10,geometric,500,489.5009177623398
253,45,10,geometric,500,540.6534566812786
254,45,10,geometric,500,519.3191412006619
255,45,10,geometric,500,514.0991128160081
256,45,10,geometric,500,500.2533657170369
257,45,10,geometric,500,483.39863285768376
258,45,10,geometric,500,507.6937375084218
259,45,10,geometric,500,533.0239711685257
260,45,10,geometric,500,535.9934296808257
261,45,10,geometric,500,508.3902311763606
262,45,10,geometric,500,512.7452538722231
263,45,10,geometric,500,499.1700994208178
264,45,10,geometric,500,514.5449233427386
265,45,10,geometric,500,493.5009646620402
266,45,10,geometric,500,493.12566505570965
267,45,10,geometric,500,514.0655319372181
268,45,10,geometric,500,517.5838271412047
269,45,10,geometric,500,508.7319969053737
270,45,10,geometric,500,521.4345100805879
271,45,10,geometric,500,514.7260895158861
272,45,10,geometric,500,507.32083033758187
273,45,10,geometric,500,496.98601848018956
274,45,10,geometric,500,484.64221964469635
275,45,10,geometric,500,495.6298409801998
276,45,10,geometric,500,507.4631276902912
277,45,10,geometric,500,532.6236275027072
278,45,10,geometric,500,525.4192802698581
279,45,10,geometric,500,524.5758517399029
280,45,10,geometric,500,528.4146629681665
281,45,10,geometric,500,491.8601049994544
282,45,10,geometric,500,514.4763880640775
283,45,10,geometric,500,496.04532084064164
284,45,10,geometric,500,515.8316059808624
285,45,10,geometric,500,511.26943710817966
286,45,10,geometric,500,515.8516427291177
287,45,10,geometric,500,493.89002313595336
288,45,10,geometric,500,495.06472328227557
289,45,10,geometric,500,490.3343154722051
290,45,10,geometric,500,494.28210542987995
291,45,10,geometric,500,512.3681753935813
292,45,10,geometric,500,510.7705499842831
293,45,10,geometric,500,495.2975897814859
294,45,10,geometric,500,500.5089710653095
295,45,10,geometric,500,489.25102512807996
296,45,10,geometric,500,489.3815853133841
297,45,10,geometric,500,488.7400999848634
298,45,10,geometric,500,488.2266530008909
299,45,10,geometric,500,486.13600026462785
300,45,10,geometric,500,490.85619849844664
301,45,10,geometric,500,487.7664013693008
302,45,10,geometric,500,485.83926740748905
303,45,10,geometric,500,496.8140544101251
304,45,10,geometric,500,508.5882731210136
305,45,10,geometric,500,490.7429444986987
306,45,10,geometric,500,491.2686792165752
307,45,10,geometric,500,493.3983899089331
308,45,10,geometric,500,476.1256897255565
309,45,10,geometric,500,478.4138072920089
310,45,10,geometric,500,488.7940307589309
311,45,10,geometric,500,482.1635055589738
312,45,10,geometric,500,485.5957319715819
313,45,10,geometric,500,479.32137752610674
314,45,10,geometric,500,488.06704907950615
315,45,10,geometric,500,488.8126902340027
316,45,10,geometric,500,482.62055979158777
317,45,10,geometric,500,470.7206079476554
318,45,10,geometric,500,473.9115141418326
319,45,10,geometric,500,483.2997198059841
320,45,10,geometric,500,480.25913222077605
321,45,10,geometric,500,471.21981363695886
322,45,10,geometric,500,472.9131896150835
323,45,10,geometric,500,478.8260390856362
324,45,10,geometric,500,486.6898001281128
325,45,10,geometric,500,485.14886678973465
326,45,10,geometric,500,487.10376952860713
327,45,10,geometric,500,480.13478558844
328,45,10,geometric,500,481.6695803151921
329,45,10,geometric,500,483.1755204797621
330,45,10,geometric,500,484.6791287672498
331,45,10,geometric,500,484.86154479319356
332,45,10,geometric,500,475.82335883037183
333,45,10,geometric,500,468.5482721274111
334,45,10,geometric,500,477.8346121956626
335,45,10,geometric,500,474.3910381859586
336,45,10,geometric,500,472.627187523516
337,45,10,geometric,500,473.69418290107996
338,45,10,geometric,500,467.81914202054907
339,45,10,geometric,500,470.01055282193727
340,45,10,geometric,500,466.5843497869927
341,45,10,geometric,500,466.2765668429911
342,45,10,geometric,500,466.99648665114415
343,45,10,geometric,500,463.2900955540805
344,45,10,geometric,500,467.62945752223385
345,45,10,geometric,500,465.9899816257153
346,45,10,geometric,500,465.12993085271256
347,45,10,geometric,500,465.74606596196935
348,45,10,geometric,500,463.9191581473083
349,45,10,geometric,500,464.4908509537132
350,45,10,geometric,500,467.03955251942006
351,45,10,geometric,500,469.50303032101573
352,45,10,geometric,500,459.3425885969044
353,45,10,geometric,500,458.30835050701467
354,45,10,geometric,500,454.7775502372612
355,45,10,geometric,500,452.85252911285465
356,45,10,geometric,500,451.1823611271586
357,45,10,geometric,500,449.2562002468454
358,45,10,geometric,500,449.2562002468454
359,45,10,geometric,500,452.9418603707927
360,45,10,geometric,500,452.83834056549927
361,45,10,geometric,500,449.152680441552
362,45,10,geometric,500,449.1394067538528
363,45,10,geometric,500,454.7081460398581
364,45,10,geometric,500,454.2184221426443
365,45,10,geometric,500,454.91543192030827
366,45,10,geometric,500,457.7373101818589
367,45,10,geometric,500,452.5080845863012
368,45,10,geometric,500,454.72496510667804
369,45,10,geometric,500,454.72496510667804
370,45,10,geometric,500,457.4247177948413
371,45,10,geometric,500,459.421357804798
372,45,10,geometric,500,456.05333670207773
373,45,10,geometric,500,455.5820537917796
374,45,10,geometric,500,457.6474565706963
375,45,10,geometric,500,458.205875689402
376,45,10,geometric,500,459.7415812343001
377,45,10,geometric,500,452.9279674535708
378,45,10,geometric,500,451.3922619086727
379,45,10,geometric,500,452.9059865247347
380,45,10,geometric,500,452.088430389738
381,45,10,geometric,500,450.33439623111474
382,45,10,geometric,500,450.33439623111474
383,45,10,geometric,500,450.34766991881406
384,45,10,geometric,500,451.9670733551103
385,45,10,geometric,500,451.9670733551104
386,45,10,geometric,500,455.6527334790576
387,45,10,geometric,500,451.9537996674111
388,45,10,geometric,500,451.2130427023726
389,45,10,geometric,500,451.2130427023725
390,45,10,geometric,500,451.79863660496187
391,45,10,geometric,500,450.62807620826834
392,45,10,geometric,500,450.62807620826834
393,45,10,geometric,500,450.64134989596755
394,45,10,geometric,500,449.7759771124091
395,45,10,geometric,500,454.32701001991495
396,45,10,geometric,500,454.88542913862057
397,45,10,geometric,500,454.88542913862057
398,45,10,geometric,500,454.88542913862057
399,45,10,geometric,500,451.19976901467334
400,45,10,geometric,500,451.19976901467334
401,45,10,geometric,500,450.3343962311148
402,45,10,geometric,500,449.76270342470985
403,45,10,geometric,500,449.76270342470985
404,45,10,geometric,500,449.76270342470985
405,45,10,geometric,500,450.33439623111474
406,45,10,geometric,500,450.33439623111474
407,45,10,geometric,500,450.33439623111474
408,45,10,geometric,500,450.34766991881395
409,45,10,geometric,500,454.0200563550619
410,45,10,geometric,500,452.02642842481714
411,45,10,geometric,500,448.9487278392114
412,45,10,geometric,500,448.94872783921153
413,45,10,geometric,500,448.94872783921153
414,45,10,geometric,500,448.37703503280653
415,45,10,geometric,500,448.37703503280653
416,45,10,geometric,500,448.37703503280653
417,45,10,geometric,500,448.37703503280653
418,45,10,geometric,500,448.3637613451073
419,45,10,geometric,500,448.9354541515122
420,45,10,geometric,500,448.9354541515122
421,45,10,geometric,500,448.9487278392115
422,45,10,geometric,500,448.9487278392115
423,45,10,geometric,500,448.3770350328066
424,45,10,geometric,500,448.3770350328066
425,45,10,geometric,500,448.37703503280653
