,sim,i,s,area,time
0,0,2582,50,1.716,0.006860798000161594
1,0,2582,69,1.3391304347826087,0.005721759999801179
2,0,2582,89,1.7797752808988763,0.012742255000205205
3,0,2582,109,1.3321100917431192,0.009036747999687123
4,0,2582,129,1.330232558139535,0.011363086000073963
5,0,2582,149,1.5503355704697985,0.01402300899957254
6,0,2582,169,1.4840236686390533,0.015256604000171592
7,0,2582,189,1.3968253968253967,0.016009081000618153
8,0,2582,209,1.6421052631578945,0.020945223000012447
9,0,2582,229,1.4698689956331876,0.021135584000205654
10,0,2582,249,1.5108433734939757,0.02324203599971497
11,0,2582,269,1.5457249070631969,0.02513940399984449
12,0,2582,289,1.5986159169550171,0.028517935000593297
13,0,2582,309,1.5592233009708736,0.03266416599956301
14,0,2582,329,1.4243161094224923,0.02863707400081239
15,0,2582,349,1.4183381088825213,0.0312526560002766
16,0,2582,369,1.5203252032520325,0.03464303700008031
17,0,2582,388,1.479896907216495,0.03481653599914125
18,0,2582,408,1.6338235294117647,0.04033025000063617
19,0,2582,428,1.4649532710280373,0.03824617000037733
20,0,2582,448,1.3848214285714284,0.03786569999971334
21,0,2582,468,1.508974358974359,0.04289981000010812
22,0,2582,488,1.3795081967213114,0.042094940000765746
23,0,2582,508,1.4161417322834646,0.04395781100106433
24,0,2582,528,1.55,0.05170887399918911
25,0,2582,548,1.5416058394160583,0.05770889699988402
26,0,2582,568,1.4176056338028167,0.04923185300123123
27,0,2582,588,1.436734693877551,0.05151565799974378
28,0,2582,608,1.530592105263158,0.05653177999982972
29,0,2582,628,1.597452229299363,0.06203976100005093
30,0,2582,648,1.4666666666666666,0.05879492099995787
31,0,2582,668,1.561077844311377,0.06489375900048344
32,0,2582,688,1.458139534883721,0.062307650000036574
33,0,2582,708,1.5008474576271185,0.0666752789998668
34,0,2582,727,1.4525447042640989,0.06550573600003418
35,0,2582,747,1.5108433734939757,0.08618142599937073
36,0,2582,767,1.488657105606258,0.07123415099977137
37,0,2582,787,1.5850063532401524,0.0753433659999132
38,0,2582,807,1.4230483271375465,0.0716653089995134
39,0,2582,827,1.5163240628778718,0.07648499100008621
40,0,2582,847,1.5350649350649348,0.08525927699963631
41,0,2582,867,1.560553633217993,0.08318654899949252
42,0,2582,887,1.406313416009019,0.07560992200075134
43,0,2582,907,1.520837927232635,0.08404013999995641
44,0,2582,927,1.5521035598705502,0.08774748199903115
45,0,2582,947,1.4565997888067581,0.08384862700040685
46,0,2582,967,1.5425025853154084,0.09087806099915952
47,0,2582,987,1.5379939209726443,0.09193815399999039
48,0,2582,1007,1.3894736842105262,0.08510936999925889
49,0,2582,1027,1.5037974683544302,0.09391220299988845
50,0,2582,1046,1.470172084130019,0.09412408100001812
51,0,2582,1066,1.5045028142589116,0.09733126400101355
52,0,2582,1086,1.5497237569060773,0.10863940600125943
53,0,2582,1106,1.467992766726944,0.09899754200085908
54,0,2582,1126,1.5415630550621668,0.10578574999829016
55,0,2582,1146,1.4858638743455497,0.10382109200003242
56,0,2582,1166,1.4830188679245282,0.10561146300000246
57,0,2582,1186,1.6193929173693085,0.11624443799985329
58,0,2582,1206,1.5213930348258706,0.11137744100039981
59,0,2582,1226,1.5127243066884175,0.11299204700037535
60,0,2582,1246,1.467255216693419,0.11140022300065766
61,0,2582,1266,1.4545023696682464,0.11788056200111896
62,0,2582,1286,1.4472783825816484,0.11377710899921567
63,0,2582,1306,1.465543644716692,0.11653992299903848
64,0,2582,1326,1.5131221719457013,0.1231440550001821
65,0,2582,1346,1.4661218424962852,0.12059277199955432
66,0,2582,1366,1.517130307467057,0.126105388000326
67,0,2582,1385,1.5725631768953068,0.1331706620011346
68,0,2582,1405,1.5219928825622775,0.12999655299887536
69,0,2582,1425,1.5469473684210526,0.15171093900039523
70,0,2582,1445,1.4844290657439445,0.1312549400004741
71,0,2582,1465,1.5407508532423206,0.14000677500052916
72,0,2582,1485,1.5822222222222222,0.1436667840000041
73,0,2582,1505,1.477873754152824,0.1358096749993365
74,0,2582,1525,1.3719344262295081,0.12839839900061634
75,0,2582,1545,1.5848543689320387,0.14882591600064643
76,0,2582,1565,1.568817891373802,0.15636975700016364
77,0,2582,1585,1.561514195583596,0.1507381769984022
78,0,2582,1605,1.4721495327102803,0.14601631999835263
79,0,2582,1625,1.523076923076923,0.15085316900052703
80,0,2582,1645,1.5286322188449846,0.1529965169985985
81,0,2582,1665,1.5499099099099098,0.15791658600068104
82,0,2582,1685,1.5197626112759643,0.1556968600002051
83,0,2582,1705,1.4516129032258063,0.1569099140004937
84,0,2582,1724,1.435614849187935,0.15195692999992616
85,0,2582,1744,1.5591743119266055,0.1660916840015716
86,0,2582,1764,1.44421768707483,0.15565840600163483
87,0,2582,1784,1.4724215246636772,0.162958621999735
88,0,2582,1804,1.569512195121951,0.17335032799996952
89,0,2582,1824,1.5523026315789472,0.18391660200114757
90,0,2582,1844,1.513991323210412,0.17063237199920422
91,0,2582,1864,1.5366952789699568,0.17878360099877
92,0,2582,1884,1.5414012738853502,0.17679494100048032
93,0,2582,1904,1.5044117647058823,0.17988262200043437
94,0,2582,1924,1.523076923076923,0.18413740099981624
95,0,2582,1944,1.5311728395061728,0.18422523900090937
96,0,2582,1964,1.4584521384928717,0.17582585500019832
97,0,2582,1984,1.5768145161290323,0.1908166790004202
98,0,2582,2004,1.5182634730538922,0.18667597899911925
99,0,2582,2024,1.467391304347826,0.18147214599895278
100,0,2582,2043,1.560352422907489,0.19997501799912243
101,0,2582,2063,1.458846340281144,0.18443999200059125
102,0,2582,2083,1.5272203552568409,0.19495952199940803
103,0,2582,2103,1.468758915834522,0.18967137800126466
104,0,2582,2123,1.5295336787564766,0.20055440499936594
105,0,2582,2143,1.4629024731684555,0.1966197179987148
106,0,2582,2163,1.5287101248266297,0.20644647499676694
107,0,2582,2183,1.5086578103527255,0.2032063439988292
108,0,2582,2203,1.5399001361779392,0.21220597599995017
109,0,2582,2223,1.4874493927125505,0.20144031500086612
110,0,2582,2243,1.456531431119037,0.20903515500066305
111,0,2582,2263,1.4494918250110471,0.20070069899878717
112,0,2582,2283,1.540867279894875,0.2169104940015245
113,0,2582,2303,1.5332175423360832,0.21613133699798937
114,0,2582,2323,1.491605682307361,0.2114931449980304
115,0,2582,2343,1.4535211267605632,0.214389352001092
116,0,2582,2363,1.5138383410918324,0.21822153599981675
117,0,2582,2382,1.4962216624685136,0.21789697900004512
