,sim,i,area
0,0,50,1.58268
1,0,69,1.55694
2,0,89,1.5450599999999999
3,0,109,1.5325199999999999
4,0,129,1.52196
5,0,149,1.518
6,0,169,1.51338
7,0,189,1.5114
8,0,209,1.5100799999999999
9,0,229,1.50744
10,0,249,1.50612
11,0,269,1.5041399999999998
12,0,289,1.50348
13,0,309,1.50348
14,0,329,1.50348
15,0,349,1.50282
16,0,369,1.50216
17,0,388,1.5015
18,0,408,1.5015
19,0,428,1.5015
20,0,448,1.5015
21,0,468,1.5001799999999998
22,0,488,1.5001799999999998
23,0,508,1.49952
24,0,528,1.49952
25,0,548,1.4988599999999999
26,0,568,1.4982
27,0,588,1.4975399999999999
28,0,608,1.4975399999999999
29,0,628,1.4975399999999999
30,0,648,1.4975399999999999
31,0,668,1.4975399999999999
32,0,688,1.4975399999999999
33,0,708,1.4975399999999999
34,0,727,1.49688
35,0,747,1.49688
36,0,767,1.49688
37,0,787,1.49688
38,0,807,1.49622
39,0,827,1.49622
40,0,847,1.49622
41,0,867,1.49622
42,0,887,1.49622
43,0,907,1.49622
44,0,927,1.49622
45,0,947,1.49622
46,0,967,1.49622
47,0,987,1.49622
48,0,1007,1.49622
49,0,1027,1.49622
50,0,1046,1.49622
51,0,1066,1.49622
52,0,1086,1.49622
53,0,1106,1.49622
54,0,1126,1.49622
55,0,1146,1.49622
56,0,1166,1.49622
57,0,1186,1.49622
58,0,1206,1.49622
59,0,1226,1.49622
60,0,1246,1.49622
61,0,1266,1.49556
62,0,1286,1.49556
63,0,1306,1.49556
64,0,1326,1.49556
65,0,1346,1.49556
66,0,1366,1.49556
67,0,1385,1.49556
68,0,1405,1.49556
69,0,1425,1.49556
70,0,1445,1.49556
71,0,1465,1.49556
72,0,1485,1.49556
73,0,1505,1.49556
74,0,1525,1.49556
75,0,1545,1.49556
76,0,1565,1.49556
77,0,1585,1.49556
78,0,1605,1.49556
79,0,1625,1.49556
80,0,1645,1.49556
81,0,1665,1.49556
82,0,1685,1.49556
83,0,1705,1.49556
84,0,1724,1.49556
85,0,1744,1.49556
86,0,1764,1.49556
87,0,1784,1.49556
88,0,1804,1.49556
89,0,1824,1.49556
90,0,1844,1.49556
91,0,1864,1.49556
92,0,1884,1.49556
93,0,1904,1.49556
94,0,1924,1.49556
95,0,1944,1.49556
96,0,1964,1.49556
97,0,1984,1.49556
98,0,2004,1.49556
99,0,2024,1.49556
100,0,2043,1.49556
101,0,2063,1.49556
102,0,2083,1.49556
103,0,2103,1.49556
104,0,2123,1.49556
105,0,2143,1.49556
106,0,2163,1.49556
107,0,2183,1.49556
108,0,2203,1.49556
109,0,2223,1.49556
110,0,2243,1.49556
111,0,2263,1.49556
112,0,2283,1.49556
113,0,2303,1.49556
114,0,2323,1.49556
115,0,2343,1.49556
116,0,2363,1.49556
117,0,2382,1.49556
118,0,2402,1.49556
119,0,2422,1.49556
120,0,2442,1.49556
121,0,2462,1.49556
122,0,2482,1.49556
123,0,2502,1.49556
124,0,2522,1.49556
125,0,2542,1.49556
126,0,2562,1.49556
127,0,2582,1.49556
128,0,2602,1.49556
129,0,2622,1.49556
130,0,2642,1.49556
131,0,2662,1.49556
132,0,2682,1.49556
133,0,2702,1.49556
134,0,2721,1.49556
135,0,2741,1.49556
136,0,2761,1.49556
137,0,2781,1.49556
138,0,2801,1.49556
139,0,2821,1.49556
140,0,2841,1.49556
141,0,2861,1.49556
142,0,2881,1.49556
143,0,2901,1.49556
144,0,2921,1.49556
145,0,2941,1.49556
146,0,2961,1.49556
147,0,2981,1.49556
148,0,3001,1.49556
149,0,3021,1.49556
150,0,3040,1.49556
151,0,3060,1.49556
152,0,3080,1.49556
153,0,3100,1.49556
154,0,3120,1.49556
155,0,3140,1.49556
156,0,3160,1.49556
157,0,3180,1.49556
158,0,3200,1.49556
159,0,3220,1.49556
160,0,3240,1.49556
161,0,3260,1.49556
162,0,3280,1.49556
163,0,3300,1.49556
164,0,3320,1.49556
165,0,3340,1.49556
166,0,3360,1.49556
167,0,3379,1.49556
168,0,3399,1.49556
169,0,3419,1.49556
170,0,3439,1.49556
171,0,3459,1.49556
172,0,3479,1.49556
173,0,3499,1.49556
174,0,3519,1.49556
175,0,3539,1.4949
176,0,3559,1.4949
177,0,3579,1.4949
178,0,3599,1.4949
179,0,3619,1.4949
180,0,3639,1.4949
181,0,3659,1.4949
182,0,3679,1.4949
183,0,3698,1.4949
184,0,3718,1.4949
185,0,3738,1.4949
186,0,3758,1.4949
187,0,3778,1.4949
188,0,3798,1.4949
189,0,3818,1.4949
190,0,3838,1.4949
191,0,3858,1.4949
192,0,3878,1.4949
193,0,3898,1.4949
194,0,3918,1.4949
195,0,3938,1.4949
196,0,3958,1.4949
197,0,3978,1.4949
198,0,3998,1.4949
199,0,4018,1.4949
200,0,4037,1.4949
201,0,4057,1.4949
202,0,4077,1.4949
203,0,4097,1.4949
204,0,4117,1.4949
205,0,4137,1.4949
206,0,4157,1.4949
207,0,4177,1.4949
208,0,4197,1.4949
209,0,4217,1.4949
