,sim,i,area
0,0,50,1.61832
1,0,69,1.5905999999999998
2,0,89,1.57806
3,0,109,1.5675
4,0,129,1.55958
5,0,149,1.55298
6,0,169,1.5503399999999998
7,0,189,1.5450599999999999
8,0,209,1.54176
9,0,229,1.5391199999999998
10,0,249,1.53846
11,0,269,1.5378
12,0,289,1.53714
13,0,309,1.53714
14,0,329,1.53714
15,0,349,1.53714
16,0,369,1.53582
17,0,388,1.53582
18,0,408,1.5351599999999999
19,0,428,1.5345
20,0,448,1.5338399999999999
21,0,468,1.5325199999999999
22,0,488,1.5325199999999999
23,0,508,1.53186
24,0,528,1.53186
25,0,548,1.5312
26,0,568,1.5305399999999998
27,0,588,1.52988
28,0,608,1.52988
29,0,628,1.52988
30,0,648,1.52988
31,0,668,1.5292199999999998
32,0,688,1.5292199999999998
33,0,708,1.5292199999999998
34,0,727,1.5292199999999998
35,0,747,1.5292199999999998
36,0,767,1.5292199999999998
37,0,787,1.5292199999999998
38,0,807,1.52856
39,0,827,1.52856
40,0,847,1.52856
41,0,867,1.52856
42,0,887,1.52856
43,0,907,1.52856
44,0,927,1.52856
45,0,947,1.52856
46,0,967,1.52856
47,0,987,1.52856
48,0,1007,1.52856
49,0,1027,1.5279
50,0,1046,1.5279
51,0,1066,1.52724
52,0,1086,1.52724
53,0,1106,1.52724
54,0,1126,1.52724
55,0,1146,1.52724
56,0,1166,1.52724
57,0,1186,1.52724
58,0,1206,1.52724
59,0,1226,1.52724
60,0,1246,1.52592
61,0,1266,1.52592
62,0,1286,1.52592
63,0,1306,1.52592
64,0,1326,1.52592
65,0,1346,1.52592
66,0,1366,1.52592
67,0,1385,1.52592
68,0,1405,1.52592
69,0,1425,1.52592
70,0,1445,1.52592
71,0,1465,1.52592
72,0,1485,1.52592
73,0,1505,1.52592
74,0,1525,1.52592
75,0,1545,1.52592
76,0,1565,1.52592
77,0,1585,1.52592
78,0,1605,1.52592
79,0,1625,1.52592
80,0,1645,1.52592
81,0,1665,1.52592
82,0,1685,1.52592
83,0,1705,1.52592
84,0,1724,1.52592
85,0,1744,1.5252599999999998
86,0,1764,1.5252599999999998
87,0,1784,1.5252599999999998
88,0,1804,1.5252599999999998
89,0,1824,1.5252599999999998
90,0,1844,1.5252599999999998
91,0,1864,1.5252599999999998
92,0,1884,1.5252599999999998
93,0,1904,1.5252599999999998
94,0,1924,1.5252599999999998
95,0,1944,1.5252599999999998
96,0,1964,1.5252599999999998
97,0,1984,1.5252599999999998
98,0,2004,1.5252599999999998
99,0,2024,1.5252599999999998
100,0,2043,1.5246
101,0,2063,1.5246
102,0,2083,1.5246
103,0,2103,1.5246
104,0,2123,1.5246
105,0,2143,1.5246
106,0,2163,1.5246
107,0,2183,1.5246
108,0,2203,1.5246
109,0,2223,1.5246
110,0,2243,1.5246
111,0,2263,1.5246
112,0,2283,1.5246
113,0,2303,1.5246
114,0,2323,1.5246
115,0,2343,1.5246
116,0,2363,1.5246
117,0,2382,1.5246
118,0,2402,1.5246
119,0,2422,1.5246
120,0,2442,1.5246
121,0,2462,1.5246
122,0,2482,1.5246
123,0,2502,1.5246
124,0,2522,1.5246
125,0,2542,1.5246
126,0,2562,1.5246
127,0,2582,1.5246
128,0,2602,1.5246
129,0,2622,1.5246
130,0,2642,1.5246
131,0,2662,1.5246
132,0,2682,1.5246
133,0,2702,1.5246
134,0,2721,1.5246
135,0,2741,1.5246
136,0,2761,1.5246
137,0,2781,1.5246
138,0,2801,1.5246
139,0,2821,1.5246
140,0,2841,1.5246
141,0,2861,1.5246
142,0,2881,1.5246
143,0,2901,1.5246
144,0,2921,1.5246
145,0,2941,1.5246
146,0,2961,1.5246
147,0,2981,1.5246
148,0,3001,1.5246
149,0,3021,1.5246
150,0,3040,1.5246
151,0,3060,1.5246
152,0,3080,1.5246
153,0,3100,1.5246
154,0,3120,1.5246
155,0,3140,1.5246
156,0,3160,1.5246
157,0,3180,1.5246
158,0,3200,1.5246
159,0,3220,1.5246
160,0,3240,1.5246
161,0,3260,1.5246
162,0,3280,1.5246
163,0,3300,1.5246
164,0,3320,1.5246
165,0,3340,1.5246
166,0,3360,1.5246
167,0,3379,1.5246
168,0,3399,1.5246
169,0,3419,1.5246
170,0,3439,1.5246
171,0,3459,1.5246
172,0,3479,1.5246
173,0,3499,1.5246
174,0,3519,1.5246
175,0,3539,1.5246
176,0,3559,1.5246
177,0,3579,1.5246
178,0,3599,1.5246
179,0,3619,1.5239399999999999
180,0,3639,1.5239399999999999
181,0,3659,1.5239399999999999
182,0,3679,1.5239399999999999
183,0,3698,1.5239399999999999
184,0,3718,1.5239399999999999
185,0,3738,1.5239399999999999
186,0,3758,1.5239399999999999
187,0,3778,1.5239399999999999
188,0,3798,1.5239399999999999
189,0,3818,1.5239399999999999
190,0,3838,1.5239399999999999
191,0,3858,1.5239399999999999
192,0,3878,1.5239399999999999
193,0,3898,1.5239399999999999
194,0,3918,1.5239399999999999
195,0,3938,1.5239399999999999
196,0,3958,1.5239399999999999
197,0,3978,1.5239399999999999
198,0,3998,1.5239399999999999
199,0,4018,1.5239399999999999
200,0,4037,1.5239399999999999
201,0,4057,1.5239399999999999
202,0,4077,1.5239399999999999
203,0,4097,1.5239399999999999
204,0,4117,1.5239399999999999
205,0,4137,1.5239399999999999
206,0,4157,1.5239399999999999
207,0,4177,1.5239399999999999
