,order,Chain length,T
0,0,10,45.0
1,1,10,45.0
2,2,10,45.0
3,3,10,45.0
4,4,10,45.0
5,5,10,45.0
6,6,10,45.0
7,7,10,45.0
8,8,10,45.0
9,9,10,45.0
10,10,10,45.0
11,11,10,44.92696073833122
12,12,10,44.92696073833122
13,13,10,44.92696073833122
14,14,10,44.92696073833122
15,15,10,44.92696073833122
16,16,10,44.92696073833122
17,17,10,44.92696073833122
18,18,10,44.92696073833122
19,19,10,44.92696073833122
20,20,10,44.92696073833122
21,21,10,44.92696073833122
22,22,10,44.92696073833122
23,23,10,44.92696073833122
24,24,10,44.85743224403482
25,25,10,44.85743224403482
26,26,10,44.85743224403482
27,27,10,44.85743224403482
28,28,10,44.85743224403482
29,29,10,44.85743224403482
30,30,10,44.81383440144557
31,31,10,44.81383440144557
32,32,10,44.81383440144557
33,33,10,44.81383440144557
34,34,10,44.81383440144557
35,35,10,44.81383440144557
36,36,10,44.81383440144557
37,37,10,44.26711994003644
38,38,10,44.07304328310982
39,39,10,44.07304328310982
40,40,10,44.07304328310982
41,41,10,44.07304328310982
42,42,10,43.933388325030094
43,43,10,43.757510994491994
44,44,10,43.757510994491994
45,45,10,43.757510994491994
46,46,10,43.757510994491994
47,47,10,43.757510994491994
48,48,10,43.757510994491994
49,49,10,43.757510994491994
50,50,10,43.757510994491994
51,51,10,43.757510994491994
52,52,10,43.757510994491994
53,53,10,43.757510994491994
54,54,10,43.757510994491994
55,55,10,43.63664760484845
56,56,10,43.63664760484845
57,57,10,43.63664760484845
58,58,10,43.63664760484845
59,59,10,43.63664760484845
60,60,10,43.63664760484845
61,61,10,43.63664760484845
62,62,10,43.63664760484845
63,63,10,43.63664760484845
64,64,10,43.63664760484845
65,65,10,43.63664760484845
66,66,10,43.63664760484845
67,67,10,43.63664760484845
68,68,10,43.49944834626763
69,69,10,43.319247877457464
70,70,10,43.04095984259959
71,71,10,42.82751020329296
72,72,10,41.976095744713625
73,73,10,41.620262697396555
74,74,10,41.11455782633404
75,75,10,40.68706919315372
76,76,10,40.397469661396144
77,77,10,40.397469661396144
78,78,10,40.397469661396144
79,79,10,40.397469661396144
80,80,10,40.34273075732286
81,81,10,40.29355302990354
82,82,10,40.29355302990354
83,83,10,40.170199081401606
84,84,10,40.170199081401606
85,85,10,39.74295846959993
86,86,10,38.997899597921645
87,87,10,38.196269985780766
88,88,10,37.67235913626022
89,89,10,37.45002246388324
90,90,10,37.45002246388324
91,91,10,37.45002246388324
92,92,10,37.45002246388324
93,93,10,37.45002246388324
94,94,10,37.43269558738687
95,95,10,37.43269558738687
96,96,10,37.400008197803245
97,97,10,37.400008197803245
98,98,10,37.233541646613624
99,99,10,37.08414366839888
100,100,10,36.723591528425224
101,101,10,36.30736659166231
102,102,10,35.729365768415256
103,103,10,35.13738409885886
104,104,10,34.49391116067381
105,105,10,33.962881325039966
106,106,10,33.35634027552413
107,107,10,32.63661407183568
108,108,10,32.089396569437625
109,109,10,31.669645188391705
110,110,10,31.244514010856427
111,111,10,31.089127164617853
112,112,10,31.089127164617853
113,113,10,31.089127164617853
114,114,10,31.089127164617853
115,115,10,31.089127164617853
116,116,10,31.089127164617853
117,117,10,31.089127164617853
118,118,10,31.089127164617853
119,119,10,31.01104747486334
120,120,10,31.01104747486334
121,121,10,31.01104747486334
122,122,10,31.01104747486334
123,123,10,31.01104747486334
124,124,10,30.939621620922704
125,125,10,30.80131632907505
126,126,10,30.68376122137003
127,127,10,30.57150687462348
128,128,10,30.488643379674244
129,129,10,30.488643379674244
130,130,10,30.48135985584884
131,131,10,30.4795367468137
132,132,10,30.4795367468137
133,133,10,30.354799799060242
134,134,10,30.354799799060242
135,135,10,30.264397018916235
136,136,10,30.070083580238965
137,137,10,30.070083580238965
138,138,10,30.070083580238965
139,139,10,30.070083580238965
140,140,10,30.070083580238965
141,141,10,30.070083580238965
142,142,10,30.070083580238965
143,143,10,30.070083580238965
144,144,10,30.070083580238965
145,145,10,30.070083580238965
146,146,10,30.027330189996498
147,147,10,30.027330189996498
148,148,10,30.027330189996498
149,149,10,29.97890273308464
150,150,10,29.97890273308464
151,151,10,29.97890273308464
152,152,10,29.818363059108233
153,153,10,29.541630073393527
154,154,10,29.241584446279763
155,155,10,28.77959350886551
156,156,10,28.52250107309546
157,157,10,28.384528031624885
158,158,10,28.347705095121487
159,159,10,28.347705095121487
160,160,10,28.347705095121487
161,161,10,28.239434755688997
162,162,10,28.174151241388305
163,163,10,27.99474577764828
164,164,10,27.6344565455932
165,165,10,27.21740073639656
166,166,10,26.899855936036506
167,167,10,26.899855936036506
168,168,10,26.899855936036506
169,169,10,26.60820687226127
170,170,10,26.423696053059693
171,171,10,26.423696053059693
172,172,10,26.423696053059693
173,173,10,26.423696053059693
174,174,10,26.363607829532384
175,175,10,26.08084710955749
176,176,10,25.967738101677533
177,177,10,25.888883100069286
178,178,10,25.888883100069286
179,179,10,25.87070317864452
180,180,10,25.684218989475962
181,181,10,25.684218989475962
182,182,10,25.684218989475962
183,183,10,25.684218989475962
184,184,10,25.684218989475962
185,185,10,25.684218989475962
186,186,10,25.49731737404692
187,187,10,25.283714716694178
188,188,10,25.05372037341115
189,189,10,24.84424982644134
190,190,10,24.55153003145274
191,191,10,24.55153003145274
192,192,10,24.55153003145274
193,193,10,24.55153003145274
194,194,10,24.55153003145274
195,195,10,24.49519875280857
196,196,10,24.438996721219457
