,order,Chain length,T
0,0,100,45.0
1,1,100,45.0
2,2,100,45.0
3,3,100,45.0
4,4,100,45.0
5,5,100,45.0
6,6,100,45.0
7,7,100,45.0
8,8,100,45.0
9,9,100,45.0
10,10,100,45.0
11,11,100,45.0
12,12,100,45.0
13,13,100,44.48622990892581
14,14,100,44.48622990892581
15,15,100,44.48622990892581
16,16,100,42.62673854550142
17,17,100,41.2365975846197
18,18,100,39.64523038347456
19,19,100,38.758528056375916
20,20,100,37.102361430271465
21,21,100,36.33938724064018
22,22,100,35.9228651214634
23,23,100,35.74124040033218
24,24,100,35.74124040033218
25,25,100,35.74124040033218
26,26,100,35.42573492183746
27,27,100,35.42573492183746
28,28,100,35.30276715692644
29,29,100,35.30276715692644
30,30,100,35.30276715692644
31,31,100,35.30276715692644
32,32,100,34.48778772207425
33,33,100,34.48778772207425
34,34,100,34.48778772207425
35,35,100,34.48778772207425
36,36,100,33.991108402417325
37,37,100,33.991108402417325
38,38,100,33.57523727139493
39,39,100,33.174316048105915
40,40,100,32.619442901397036
41,41,100,32.619442901397036
42,42,100,32.50637046658649
43,43,100,32.50637046658649
44,44,100,31.75460026496482
45,45,100,31.75460026496482
46,46,100,31.55596474882147
47,47,100,30.906754305885023
48,48,100,30.407208250631765
49,49,100,30.08659853526041
50,50,100,30.08659853526041
51,51,100,30.08659853526041
52,52,100,29.114168515573972
53,53,100,27.79449592883467
54,54,100,26.935489671798106
55,55,100,26.15925032327987
56,56,100,25.7859931600533
57,57,100,25.134530882085013
58,58,100,24.82903527408458
59,59,100,24.139773390930678
60,60,100,24.001135265630683
61,61,100,23.31696129098733
62,62,100,23.31696129098733
63,63,100,23.195479421148303
64,64,100,23.195479421148303
65,65,100,23.195479421148303
66,66,100,23.195479421148303
67,67,100,23.195479421148303
68,68,100,23.195479421148303
69,69,100,22.903385998433556
70,70,100,22.35423026933927
71,71,100,21.47601988124958
72,72,100,21.47601988124958
73,73,100,21.47601988124958
74,74,100,21.47601988124958
75,75,100,21.47601988124958
76,76,100,20.981103815264948
77,77,100,20.981103815264948
78,78,100,20.981103815264948
79,79,100,20.981103815264948
80,80,100,20.981103815264948
81,81,100,20.981103815264948
82,82,100,20.80548685508363
83,83,100,20.556841988387617
84,84,100,20.123837784215116
85,85,100,19.65341352284651
86,86,100,19.431668305653297
87,87,100,18.906088592031807
88,88,100,17.97152774762885
89,89,100,17.309974235636936
90,90,100,16.81362028336609
91,91,100,16.066817345749463
92,92,100,15.260883881672507
93,93,100,14.719405703525776
94,94,100,14.493529466442997
95,95,100,14.493529466442997
96,96,100,14.493529466442997
97,97,100,14.493529466442997
98,98,100,14.493529466442997
99,99,100,14.493529466442997
100,100,100,14.493529466442997
101,101,100,14.493529466442997
102,102,100,14.493529466442997
103,103,100,14.493529466442997
104,104,100,14.493529466442997
105,105,100,14.493529466442997
106,106,100,14.493529466442997
107,107,100,14.493529466442997
108,108,100,14.34864647277908
109,109,100,14.34864647277908
110,110,100,14.34864647277908
111,111,100,14.289982864734222
112,112,100,14.289982864734222
113,113,100,14.289982864734222
114,114,100,14.139533969126969
115,115,100,13.858252994924612
116,116,100,13.666726592378001
117,117,100,13.4879019066051
118,118,100,13.4879019066051
119,119,100,13.308102069452186
120,120,100,13.157962529807858
121,121,100,12.926221014465648
122,122,100,12.896385205013306
123,123,100,12.896385205013306
124,124,100,12.896385205013306
125,125,100,12.896385205013306
126,126,100,12.836006701886669
127,127,100,12.770107463160967
128,128,100,12.770107463160967
129,129,100,12.770107463160967
130,130,100,12.733823958380015
131,131,100,12.733823958380015
132,132,100,12.733823958380015
133,133,100,12.708569841908224
134,134,100,12.708569841908224
135,135,100,12.708569841908224
136,136,100,12.708569841908224
137,137,100,12.708569841908224
138,138,100,12.708569841908224
139,139,100,12.708569841908224
140,140,100,12.70250446355438
141,141,100,12.70250446355438
142,142,100,12.70250446355438
143,143,100,12.70250446355438
144,144,100,12.70250446355438
145,145,100,12.70250446355438
146,146,100,12.70250446355438
147,147,100,12.70250446355438
148,148,100,12.640049866137275
149,149,100,12.55591306977034
150,150,100,12.55591306977034
151,151,100,12.55591306977034
152,152,100,12.55591306977034
153,153,100,12.55591306977034
154,154,100,12.473365001107382
155,155,100,12.473365001107382
156,156,100,12.195954315583837
157,157,100,11.973866573306164
158,158,100,11.758327880827142
159,159,100,11.490642878248197
160,160,100,11.33064710284941
161,161,100,11.175341915480548
162,162,100,11.025969985434552
163,163,100,10.864773005606965
164,164,100,10.671313256910281
165,165,100,10.482859586901554
166,166,100,10.28204472944923
167,167,100,10.11071126857685
168,168,100,9.87966159849452
169,169,100,9.770573015921848
170,170,100,9.621784554592265
171,171,100,9.446602662134913
172,172,100,9.261098977135719
173,173,100,9.039730278185448
174,174,100,8.964063739102281
175,175,100,8.896318425772819
176,176,100,8.887813422002154
177,177,100,8.873099400925758
178,178,100,8.873099400925758
179,179,100,8.866712425645911
180,180,100,8.862542170846535
181,181,100,8.862542170846535
182,182,100,8.791223693497992
183,183,100,8.728874315254535
184,184,100,8.641290720921509
185,185,100,8.536788046991777
186,186,100,8.536736257218314
187,187,100,8.536736257218314
188,188,100,8.536736257218314
189,189,100,8.495923711007418
190,190,100,8.495923711007418
191,191,100,8.495923711007418
192,192,100,8.403994003226146
193,193,100,8.403994003226146
194,194,100,8.403994003226146
195,195,100,8.329607830732483
196,196,100,8.236587022037263
197,197,100,8.236587022037263
198,198,100,8.189398947082623
199,199,100,8.152760910194432
200,200,100,8.152760910194432
201,201,100,8.152760910194432
202,202,100,8.152760910194432
203,203,100,8.152760910194432
204,204,100,8.152760910194432
205,205,100,8.152760910194432
206,206,100,8.152760910194432
207,207,100,8.090947391939672
208,208,100,8.090947391939672
209,209,100,8.090947391939672
210,210,100,8.090947391939672
211,211,100,8.090947391939672
